element_id	page_no	position_in_page	self_ref	text50	label
1d6db2b1a6	1	139	#/texts/137	mlflow.langchain.autolog()	code
12557a5331	1	140	#/texts/138	at the beginning of the script. Additionally, the 	text
13a1548dd9	1	141	#/texts/139	llm_only	code
71a2d3f461	1	142	#/texts/140	version.	text
96f6272cec	1	143	#/texts/141	By default, the Traces tab UI may not display the 	text
eb95c49618	1	144	#/texts/142	Figure 4-4	text
23f8b383b3	1	145	#/texts/143	).	text
157fc2f27f	1	146	#/texts/144	By clicking on the trace, we can view the question	text
bb9d6f7b10	1	147	#/texts/145	Figure 4-5	text
ecedcb0f42	1	148	#/texts/146	.	text
bb992b1f56	1	149	#/pictures/3	Traces tab in the MLflow Experiment UI displays a 	picture
bc4cca8350	1	150	#/pictures/4	Screenshot of a Trace UI showing the question \"How	picture
2613c435c5	1	151	#/texts/149	Doing a quick review of the response, we can see t	text
57faba8fa8	1	152	#/texts/150	Full Tool-Calling Agent Application	section_header
0b6bc1d50c	1	153	#/texts/151	Now we will build a complete tool-calling agent ap	text
b68e36e0ab	1	154	#/texts/152	To manage these configurations more efficiently, w	text
16a48d380e	1	155	#/texts/153	chapter04_conf.yml	text
b59e109e7c	1	156	#/texts/154	in the	text
619685eed4	1	157	#/texts/155	conf	text
fd6269f5b1	1	158	#/texts/156	folder of the book's GitHub repository.	text
0d4cd634d2	1	159	#/texts/157	Since we are building a new application now, we wi	text
9cc542a7a8	1	160	#/texts/158	logged_model_name = \"tool_calling_agent\"	code
c4c36873ff	1	161	#/texts/159		code
943388bd8d	1	162	#/texts/160	active_model_info = mlflow . set_active_model ( na	code
a0902f3a07	1	163	#/texts/161		code
d16efa2655	1	164	#/texts/162	print ( f \"Active LoggedModel: ' { active_model_in	code
6f636ec167	1	165	#/texts/163		code
03f25d33f6	1	166	#/texts/164	)	code
9e5a78aa5b	1	167	#/texts/165		code
e82e7696e8	1	168	#/texts/166	Then load our YAML configuration:	text
d67576c819	1	169	#/texts/167	import yaml	code
926ebc3138	1	170	#/texts/168		code
